,tns_name,previous_name,repeater_name,ra,dec,gb,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,repeating,redshift,fre_width,fre_width_ob,rest_width,energy,bright_temp,log_fre_width,log_redshift,log_rest_width,log_energy,log_bright_temp
42,FRB20180922A,-9999,-9999,342.29,69.67,9.29,562.9,0.0,3.0,0.0,6.2,555.687,414.4,341.5,2.9499999999999997,0.000313,2.6,7.7,0,0.000806,-4.0,-9.2,555.9,400.2,400.2,302315.045,340473,0,0.3826385498624212,215.27682221357895,155.7,0.5829433875398604,1.2734436674828312e+40,7.071540955888141e+29,2.3329972740101885,-0.4172112780380938,-3.2343736196369774,40.104979738115915,29.8495140609989
43,FRB20180923A,-9999,-9999,327.61,71.92,13.83,218.4,12.2,1.3,23.8,2.6,219.4397,119.4,92.2,1.97,0.000211,0.76,1.2,0,0.00015,18.2,-57.4,572.9,400.2,468.9,163961.351,163545,0,0.025873872635498334,177.16841780415055,172.7,0.1462168050100017,9.489824437952058e+36,1.3779845829911515e+27,2.2483863067393965,-1.5871385640026008,-3.8350027101162563,36.97725817804016,27.139244358675146
44,FRB20180923D,-9999,-9999,169.08,48.75,61.62,328.4,0.0,0.9,0.0,1.0,329.3996,298.7,308.7,0.98,0.0001144,2.4,2.2,0,0.0001,20.9,-92.7,524.4,400.2,448.0,167150.173,162937,0,0.24836824031066623,155.04733544658473,124.19999999999999,0.08010456912546432,1.6652562543092097e+39,1.9297916631794424e+30,2.1904643071048615,-0.6049039396535475,-4.0963427112643,39.22148107343947,30.285510425891
45,FRB20180923C,-9999,-9999,239.14,22.85,48.06,173.1,0.0,1.0,0.0,1.3,173.9839,144.9,146.5,1.97,0.0005,0.89,1.37,0,0.00032,1.0,-10.2,675.6,400.2,420.5,325038.302,322841,0,0.059186938729728626,291.7000829261673,275.40000000000003,0.3021185291274197,5.165127346139155e+37,1.0667115689213946e+28,2.4649365525854683,-1.2277741220515952,-3.5198226383446576,37.713081033511735,28.02804700521682
46,FRB20180924A,-9999,-9999,35.46,37.52,-21.96,1114.5,0.0,2.8,0.0,4.9,1116.5456,1047.3,1049.0,2.9499999999999997,0.00099,1.3,3.5,0,0.00087,6.5,-5.0,800.2,400.2,770.6,287463.174,286362,0,1.09091337465459,836.3653498618361,400.00000000000006,0.4160861040662291,9.292961651431376e+40,7.951066612239382e+29,2.922396031946304,0.0377902662591643,-3.3808167879997226,40.96815414498317,29.90042539189401
47,FRB20180925A,-9999,-9999,74.93,77.99,21.05,236.2,33.6,8.0,68.1,15.7,237.742,167.1,159.0,14.75,0.006,0.99,8.7,0,0.00452,-1.2,4.1,800.2,400.2,800.2,398511.617,397626,0,0.08762553400542913,435.0502136021717,400.00000000000006,4.155842115396159,1.3853022937978432e+39,1.2972025642461349e+26,2.6385393862230933,-1.0573693223501979,-2.3813409600837487,39.14154455333053,26.113007798493726
48,FRB20180925B,-9999,-9999,145.45,20.99,46.52,668.0,0.0,3.1,0.0,5.6,667.866,628.2,637.4,5.8999999999999995,0.0014,0.76,2.7,0,0.00115,15.0,-41.5,606.9,400.2,479.6,261962.202,259610,0,0.6229422980598378,335.4621730089685,206.7,0.7085895791703616,1.45825991822283e+40,9.805510417578367e+28,2.5256435558622163,-0.20555217933566897,-3.1496052388813163,40.163834938926705,28.99147020542534
49,FRB20180928A,-9999,-9999,312.95,30.85,-8.58,250.7,0.0,1.0,0.0,1.1,252.7681,94.7,135.9,2.9499999999999997,0.0001475,1.34,2.5,0,0.000269,-2.93,-39.7,492.1,400.2,400.2,159235.574,154121,0,0.002248222001635545,92.10661160195033,91.90000000000003,0.2683965848926804,1.25875318821227e+35,1.1095760483091733e+25,1.9642908058666018,-2.6481608063926076,-3.5712230144780825,35.09994058355869,25.04515707333611
50,FRB20181012B,-9999,-9999,206.33,64.15,51.97,713.3,0.0,2.1,0.0,3.8,715.189,681.7,689.4,3.93,0.00026,0.49,1.44,0,0.00056,20.9,-154.0,483.9,400.2,428.3,334457.291,335001,0,0.682418769845725,140.81845103608717,83.69999999999999,0.3328541086422562,8.360276149823848e+39,2.1505615257745606e+29,2.1486595628896374,-0.1659490364590583,-3.4777460778901768,39.9222206229371,29.332551871871352
51,FRB20181013A,-9999,-9999,262.83,38.41,31.48,308.9,0.0,1.6,0.0,2.8,309.3055,261.2,270.7,0.98,0.00056,2.81,3.5,0,0.000512,1.08,-5.2,800.2,400.2,443.7,141833.644,140442,0,0.2036695122075824,481.46780488303307,400.00000000000006,0.4253659287763878,1.7415888133546833e+39,1.5289400233846531e+30,2.682567251732377,-0.6910739767483778,-3.371237299428584,39.24094562646371,30.18439044942542
